NumerOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,CreatedAt_encoded,CollectedAt_encoded,class
357,401,2001,9,74,83,83,0
419,380,1957,14,56,84,84,0
1458,7211,37701,9,78,85,85,0
153,136,916,11,28,86,86,0
246,8626,25275,8,116,87,87,0
533,1974,23508,14,18,88,88,0
2057,1894,3287,7,45,89,89,0
68,29,3162,3,0,90,90,0
803,857,1502,6,33,91,91,0
1396,2281,4192,9,40,92,92,0
189,168,4122,10,128,93,93,0
1759,1371,8718,6,152,94,94,0
2234,3827,10665,12,115,95,95,0
369,479,3267,11,34,96,96,0
731,485,1920,13,28,97,97,0
456,563,6532,8,55,98,98,0
597,562,2910,11,79,99,99,0
676,1590,16015,14,75,100,100,0
70,186,3771,8,0,101,101,0
1233,1507,13900,10,34,102,102,0
327,553,509,6,0,103,103,0
374,2722,9188,5,110,104,104,0
572,379,1548,10,159,105,105,0
87,156,1626,12,53,106,106,0
751,1173,24898,4,21,107,107,0
494,446,4204,6,17,108,108,0
659,699,2960,6,21,109,109,0
1164,583,1195,9,93,110,110,0
406,362,1072,11,101,111,111,0
356,2318,1974,15,85,112,112,0
220,1103,2603,10,112,113,113,0
219,693,2995,5,0,114,114,0
435,364,1771,8,160,115,115,0
406,1323,41436,8,52,116,116,0
316,1041,1781,8,21,117,117,0
237,116,4475,15,13,118,118,0
37,53,721,6,12,119,119,0
153,859,962,7,20,120,120,0
28883,31756,3941,8,53,121,121,0
1113,1074,17011,5,95,122,122,0
127,133,678,8,32,123,123,0
749,924,12489,9,106,124,124,0
59,181,6114,10,92,125,125,0
37,391,1473,9,9,126,126,0
121,1002,22950,15,94,127,127,0
107,200,7933,11,26,128,128,0
138,12579,31597,15,39,129,129,0
879,1179,16684,6,67,130,130,0
274,359,4227,11,121,131,131,0
171,564,2664,5,0,132,132,0
162,209,3985,8,26,133,133,0
106,414,7051,10,24,134,134,0
22332,20503,6924,7,86,135,135,0
113,94,1917,10,78,136,136,0
306,334,1568,7,100,137,137,0
642,1874,7391,10,29,138,138,0
791,6477,8073,6,132,139,139,0
314,1294,20130,8,111,140,140,0
37,51,1942,7,12,141,141,0
253,2280,28758,6,160,142,142,0
204,8338,3348,9,75,143,143,0
31,50,1013,6,27,144,144,0
46,77,2055,5,16,145,145,0
104,94,656,5,24,146,146,0
295,442,8721,12,140,147,147,0
506,1041,5421,7,42,148,148,0
91,89,420,11,43,149,149,0
229,129,2380,11,160,150,150,0
35,52,330,8,0,151,151,0
90,81,214,10,44,152,152,0
1114,1929,11672,12,155,153,153,0
467,834,12830,8,83,154,154,0
399,496,5744,8,36,155,155,0
7,131,9089,9,40,156,156,0
0,136,3210,3,0,157,157,0
1532,1568,4035,7,107,158,158,0
263,260,10707,5,104,159,159,0
76,83,2955,12,28,160,160,0
308,454,10846,7,0,161,161,0
332,527,22150,12,153,162,162,0
149,1123,14585,12,49,163,163,0
129,2005,6912,5,37,164,164,0
92,42,948,8,0,165,165,0
299,539,11934,6,131,166,166,0
290,685,6453,13,75,167,167,0
31,116,160,6,0,168,168,0
45,161,4862,10,0,169,169,0
36,48,255,10,0,170,170,0
285,351,1869,15,37,171,171,0
4581,5719,50419,7,71,172,172,0
508,936,19759,7,160,173,173,0
416,13134,8013,7,49,174,174,0
3776,5710,7385,4,91,175,175,0
206,180,1462,6,0,176,176,0
189,269,12532,8,100,177,177,0
501,849,22207,9,40,178,178,0
93,1577,2534,6,72,179,179,0
895,1074,20537,11,78,180,180,0
154,649,14132,10,140,181,181,0
157,123,4158,10,71,182,182,0
307,333,8947,8,39,183,183,0
687,782,476,12,154,184,184,0
296,608,18918,7,37,185,185,0
678,578,3950,9,0,186,186,0
126,110,3985,10,24,187,187,0
463,1355,86126,6,8,188,188,0
960,2604,26638,10,67,189,189,0
271,737,22191,12,17,190,190,0
47,48,387,7,53,191,191,0
67,52,1497,6,71,192,192,0
44,87,655,11,0,193,193,0
1371,923,1306,5,32,194,194,0
521,519,12021,7,9,195,195,0
77,1889,4596,7,21,196,196,0
1344,5874,30783,10,59,197,197,0
633,1296,102623,6,129,198,198,0
304,336,2216,6,32,199,199,0
181,370,4735,8,19,200,200,0
251,513,17210,8,39,201,201,0
661,705,4437,5,74,202,202,0
278,1487,48258,14,110,203,203,0
33,34,281,7,6,204,204,0
1436,1645,34044,6,35,205,205,0
166,502,17612,4,12,206,206,0
950,1003,6705,7,93,207,207,0
357,473,1733,13,0,208,208,0
654,2115,1498,10,60,209,209,0
212,527,12591,3,135,210,210,0
681,683,6707,6,0,211,211,0
166,281,2977,7,0,212,212,0
212,176,1039,8,42,213,213,0
183,195,9584,6,46,214,214,0
1523,1361,16831,6,91,215,215,0
1916,1279,846,13,118,216,216,0
41,216,554,14,22,217,217,0
922,964,9291,9,75,218,218,0
98,76,801,3,27,219,219,0
264,318,2519,6,0,220,220,0
2503,2399,26416,6,32,221,221,0
77,71,1909,8,63,222,222,0
1830,2198,8232,11,159,223,223,0
83,128,3282,7,18,224,224,0
375,4329,10867,4,7,225,225,0
129,202,2066,9,47,226,226,0
321,168,1574,5,18,227,227,0
935,893,50086,6,39,228,228,0
156,510,5855,8,61,229,229,0
1066,1430,4327,15,146,230,230,0
88,715,16706,5,23,231,231,0
112,927,131,7,15,232,232,0
147,164,11524,5,27,233,233,0
202,305,1098,6,60,234,234,0
124,69,113,3,0,235,235,0
80,4274,650,9,47,236,236,0
505,1459,4153,8,139,237,237,0
1979,1886,7615,6,72,238,238,0
733,488,3132,8,108,239,239,0
69,102,1761,4,0,240,240,0
227,982,11479,11,28,241,241,0
6,59,13386,10,50,242,242,0
392,602,4157,11,99,243,243,0
320,949,30260,14,96,244,244,0
31,59,1336,3,0,245,245,0
776,677,4567,15,53,246,246,0
304,253,10169,7,9,247,247,0
720,665,10463,7,74,248,248,0
165,122,1933,5,86,249,249,0
64,85,700,8,24,250,250,0
240,315,2131,12,132,251,251,0
379,283,4694,7,39,252,252,0
1119,3950,7559,12,159,253,253,0
12,18,657,10,0,254,254,0
8,4,646,5,12,255,255,0
416,876,7646,6,141,256,256,0
47,77,5693,7,8,257,257,0
929,921,58400,3,108,258,258,0
206,241,1207,6,34,259,259,0
113,153,9573,9,0,260,260,0
210,118,587,3,102,261,261,0
101,94,1719,10,159,262,262,0
486,858,17087,7,22,263,263,0
182,190,1943,6,55,264,264,0
68,83,2445,8,54,265,265,0
237,560,19601,14,158,266,266,0
162,132,1331,8,13,267,267,0
92,120,1029,14,121,268,268,0
46,67,813,5,11,269,269,0
184,221,1532,7,125,270,270,0
223,64,289,6,0,271,271,0
20,89,6468,6,9,272,272,0
56,126,4910,6,0,273,273,0
124,190,8997,3,21,274,274,0
1991,2140,53203,8,47,275,275,0
158,450,4923,7,62,276,276,0
112,2327,5731,5,14,277,277,0
546,492,4308,6,124,278,278,0
307,293,11106,5,16,279,279,0
20,34,740,8,12,280,280,0
797,1036,4509,12,150,281,281,0
289,316,26164,7,53,282,282,0
120,225,2679,8,70,283,283,0
40,57,207,7,81,284,284,0
115,137,5877,4,11,285,285,0
418,784,9183,3,39,286,286,0
391,770,5558,5,24,287,287,0
203,317,3914,10,11,288,288,0
315,276,6284,7,113,289,289,0
4,2698,36750,8,0,290,290,0
5816,6173,7063,10,116,291,291,0
610,357,2797,6,42,292,292,0
277,346,1554,9,36,293,293,0
1530,1621,13367,6,10,294,294,0
62,185,7595,7,31,295,295,0
58,267,11482,6,14,296,296,0
1019,839,15127,4,146,297,297,0
19,15,65,7,0,298,298,0
210,476,3656,8,91,299,299,0
416,418,24597,7,125,300,300,0
1992,2120,57491,4,33,301,301,0
396,439,2612,8,30,302,302,0
373,355,12743,7,60,303,303,0
27,54,134,4,0,304,304,0
117,1342,4114,9,35,305,305,0
82,107,2589,6,60,306,306,0
67,76,1503,7,6,307,307,0
438,539,1527,7,8,308,308,0
485,271,1659,15,0,309,309,0
198,493,8941,6,46,310,310,0
91,113,3366,6,44,311,311,0
220,267,9879,8,41,312,312,0
49,45,242,12,11,313,313,0
69,108,7126,14,37,314,314,0
13,147,1494,8,16,315,315,0
302,836,12968,14,57,316,316,0
26,98,258,13,0,317,317,0
473,308,3674,5,23,318,318,0
1266,1427,12721,13,155,319,319,0
662,529,8894,9,125,320,320,0
72,97,356,8,0,321,321,0
71,149,171,7,31,322,322,0
195,976,781,7,33,323,323,0
91,341,381,9,76,324,324,0
450,404,15239,8,12,325,325,0
223,780,953,9,0,326,326,0
308,378,5652,11,27,327,327,0
6213,6135,3974,9,72,328,328,0
330,491,3581,6,73,329,329,0
525,830,8904,10,53,330,330,0
462,4352,15148,7,74,331,331,0
526,575,610,7,44,332,332,0
38,50,1137,11,41,333,333,0
144,179,2857,6,9,334,334,0
323,516,7325,7,104,335,335,0
166,578,8435,7,76,336,336,0
163,222,15105,7,83,337,337,0
143,140,2916,8,22,338,338,0
392,396,11025,8,156,339,339,0
129,200,6462,6,42,340,340,0
50,46,87,8,0,341,341,0
96,6842,13887,4,56,342,342,0
0,699,48957,4,22,343,343,0
0,917,6286,5,0,344,344,0
82,138,4746,7,0,345,345,0
1835,1376,3284,9,137,346,346,0
9524,9955,24538,7,158,347,347,0
111,82,505,8,0,348,348,0
156,223,2134,10,54,349,349,0
52,37,730,7,32,350,350,0
33,47,969,9,0,351,351,0
127,148,8403,7,3,352,352,0
478,291,7036,11,37,353,353,0
24,72,7497,8,159,354,354,0
262,268,3278,14,147,355,355,0
151,110,3336,11,131,356,356,0
76,44,961,6,0,357,357,0
13,48,953,14,21,358,358,0
19,41,34,5,0,359,359,0
154,177,1460,7,0,360,360,0
37,68,2210,5,12,361,361,0
427,117,477,6,0,362,362,0
2001,1450,2228,6,87,363,363,0
77,77,295,10,117,364,364,0
2011,2137,2005,10,9,365,365,0
484,238,966,10,58,366,366,0
159,140,4595,11,20,367,367,0
300,853,5556,6,152,368,368,0
386,558,3954,8,44,369,369,0
575,655,10693,5,44,370,370,0
194,859,2855,10,32,371,371,0
562,697,10533,11,73,372,372,0
49,64,533,6,10,373,373,0
551,912,4205,6,155,374,374,0
116,139,1305,4,28,375,375,0
71,25,15354,9,0,376,376,0
289,2099,1842,3,92,377,377,0
166,128,1945,7,72,378,378,0
120,100,2492,9,98,379,379,0
117,116,3235,5,9,380,380,0
80,152,2021,6,37,381,381,0
371,389,10912,7,144,382,382,0
220,459,10923,9,63,383,383,0
38,43,1616,4,8,384,384,0
436,346,6398,11,107,385,385,0
44,62,324,8,74,386,386,0
47,49,66,10,17,387,387,0
266,240,6615,3,97,388,388,0
222,402,8866,9,154,389,389,0
59,100,2525,9,15,390,390,0
121,160,1954,8,9,391,391,0
200,141,223,9,90,392,392,0
26,28,5231,9,38,393,393,0
1401,2166,1102,12,100,394,394,0
42,60,1126,8,28,395,395,0
1999,1367,17335,9,104,396,396,0
34,35,1572,6,51,397,397,0
74,61,165,12,0,398,398,0
732,1040,99229,6,100,399,399,0
356,850,26548,5,11,400,400,0
522,697,3988,7,67,401,401,0
57,42,524,13,78,402,402,0
732,1112,32686,5,119,403,403,0
1306,1354,2633,13,36,404,404,0
190,611,9318,5,66,405,405,0
328,277,3726,8,87,406,406,0
123,187,10040,8,20,407,407,0
49,59,3254,9,0,408,408,0
1452,1668,7940,9,157,409,409,0
219,297,36498,6,46,410,410,0
311,1003,14194,9,68,411,411,0
134,291,4988,8,0,412,412,0
53,52,1866,8,10,413,413,0
140,144,7489,7,106,414,414,0
41,109,351,11,34,415,415,0
1232,2494,20235,11,105,416,416,0
2214,2090,3133,13,138,417,417,0
125,215,39133,6,70,418,418,0
48,65,556,6,96,419,419,0
430,660,5018,12,110,420,420,0
11249,10452,5075,7,72,421,421,0
338,357,5188,9,62,422,422,0
441,528,8136,12,70,423,423,0
206,125,1874,5,65,424,424,0
111,121,2612,9,57,425,425,0
34,84,603,12,0,426,426,0
475,789,4753,11,59,427,427,0
29,48,352,6,89,428,428,0
8,2896,57132,3,8,429,429,0
376,342,7041,5,63,430,430,0
175,278,17355,12,114,431,431,0
27,68,1437,4,0,432,432,0
22,887,350453,15,73,433,433,0
126,130,1653,7,4,434,434,0
853,756,7462,8,136,435,435,0
23,16,300,11,7,436,436,0
201,112,1305,7,32,437,437,0
311,346,2110,9,147,438,438,0
345,478,6900,9,27,439,439,0
44,63,718,8,0,440,440,0
943,1282,8084,12,70,441,441,0
62,70,1416,4,0,442,442,0
37,73,401,6,25,443,443,0
250,188,3601,10,159,444,444,0
187,218,3095,5,62,445,445,0
36,57,219,9,86,446,446,0
204,144,3133,8,38,447,447,0
5,24,114,4,0,448,448,0
165,387,4398,8,156,449,449,0
66,62,731,9,38,450,450,0
311,535,7537,8,135,451,451,0
3294,3299,16184,6,99,452,452,0
361,618,4267,6,125,453,453,0
53,52,1133,7,160,454,454,0
15,21,1039,11,17,455,455,0
90,186,4736,7,100,456,456,0
35,40,284,8,21,457,457,0
42,82,3061,4,0,458,458,0
179,199,14470,4,62,459,459,0
126,138,1596,11,0,460,460,0
306,294,6256,13,77,461,461,0
778,34785,15940,7,50,462,462,0
0,33,582,9,0,463,463,0
193,722,21189,8,21,464,464,0
315,213,1514,11,71,465,465,0
104,694,526,9,24,466,466,0
73,111,7515,5,11,467,467,0
223,533,18495,13,56,468,468,0
0,27,294,8,0,469,469,0
28,158,480,12,12,470,470,0
308,369,3980,8,132,471,471,0
35,61,1052,7,7,472,472,0
16,28,286,12,49,473,473,0
350,235,408,7,37,474,474,0
138,86,2121,8,90,475,475,0
48,35,645,13,0,476,476,0
593,1129,4380,13,66,477,477,0
18,813,9884,6,7,478,478,0
78,118,2763,4,0,479,479,0
14467,15474,7835,12,128,480,480,0
252,1230,3445,9,37,481,481,0
4,89,1645,10,14,482,482,0
150,58,4742,15,0,483,483,0
48654,49810,30495,12,157,484,484,0
146,283,2048,15,18,485,485,0
2829,2868,7544,7,95,486,486,0
56,74,240,9,93,487,487,0
529,564,6095,7,49,488,488,0
790,918,2233,7,159,489,489,0
203,227,4224,8,0,490,490,0
283,3904,4415,13,116,491,491,0
392,282,6434,7,24,492,492,0
264,533,2374,9,40,493,493,0
376,429,16516,11,91,494,494,0
159,142,4687,15,64,495,495,0
1855,1825,11774,9,61,496,496,0
28,41,374,4,62,497,497,0
23,25,1185,8,54,498,498,0
941,1403,32854,8,56,499,499,0
580,468,12761,6,107,500,500,0
8793,9288,30058,5,123,501,501,0
114,253,2566,9,94,502,502,0
277,370,650,13,157,503,503,0
1205,1327,25430,10,142,504,504,0
567,397,1292,8,0,505,505,0
173,2662,6423,6,139,506,506,0
805,931,9187,12,83,507,507,0
71,74,6917,6,18,508,508,0
183,165,1639,10,101,509,509,0
181,193,444,9,0,510,510,0
56,71,1395,11,66,511,511,0
787,2109,37660,5,40,512,512,0
208,98,855,14,50,513,513,0
0,789,234297,3,30,514,514,0
20,12,208,6,0,515,515,0
30,27,578,8,55,516,516,0
466,999,21638,9,110,517,517,0
36,36,1403,7,15,518,518,0
871,1120,2388,9,104,519,519,0
1158,1618,12641,5,116,520,520,0
345,355,5985,3,18,521,521,0
280,315,24869,10,75,522,522,0
167,198,2543,11,0,523,523,0
658,2198,41357,11,124,524,524,0
514,3293,5753,7,43,525,525,0
395,385,9838,10,107,526,526,0
36,33,493,9,55,527,527,0
0,34484,43415,11,42,528,528,0
239,242,5265,6,29,529,529,0
171,177,395,11,157,530,530,0
309,304,2829,4,86,531,531,0
375,436,8482,12,122,532,532,0
203,275,6643,15,86,533,533,0
206,214,3434,10,96,534,534,0
218,248,9365,8,45,535,535,0
316,550,28952,14,83,536,536,0
12,96,69,7,151,537,537,0
673,121139,6646,9,0,538,538,0
252,287,7101,8,62,539,539,0
142,112,445,8,22,540,540,0
52,75,673,5,0,541,541,0
319,110,2894,9,99,542,542,0
99,955,9716,13,33,543,543,0
733,776,2757,14,36,544,544,0
34,69,3771,9,104,545,545,0
225,179,6315,7,0,546,546,0
624,645,5397,4,67,547,547,0
400,547,18025,7,131,548,548,0
525,767,2820,13,113,549,549,0
112,82,261,8,23,550,550,0
112,187,1782,10,142,551,551,0
373,457,7500,7,56,552,552,0
102,69,377,4,27,553,553,0
252,264,571,9,98,554,554,0
324,335,3695,14,62,555,555,0
146,153,3574,11,0,556,556,0
205,737,15720,10,131,557,557,0
538,1750,12896,5,28,558,558,0
84,68,703,6,41,559,559,0
12,21,2948,3,0,560,560,0
64,61,298,9,0,561,561,0
168,252,2454,4,74,562,562,0
85,85,3511,8,20,563,563,0
343,1169,29139,7,59,564,564,0
1732,1306,34225,8,54,565,565,0
176,196,4704,11,23,566,566,0
131,3301,17788,11,102,567,567,0
803,1364,34897,6,138,568,568,0
179,3943,14183,6,137,569,569,0
617,1720,6724,8,34,570,570,0
514,699,7786,11,148,571,571,0
281,125,5352,9,60,572,572,0
160,182,1978,8,9,573,573,0
251,2661,1935,12,86,574,574,0
300,525,9261,11,70,575,575,0
1667,1871,3998,12,45,576,576,0
62,1700,3253,7,48,577,577,0
73,41,613,11,34,578,578,0
200,89,3270,12,0,579,579,0
3160,3306,8036,10,81,580,580,0
90,296,5367,12,160,581,581,0
384,749,2467,7,82,582,582,0
37,55,156,6,0,583,583,0
171,236,3225,4,14,584,584,0
132,188,1780,9,21,585,585,0
2,20,245,15,0,586,586,0
121,164,2389,9,65,587,587,0
495,291,3799,9,58,588,588,0
63,54,32,15,47,589,589,0
1574,1275,20534,5,160,590,590,0
240,248,8182,6,24,591,591,0
98,208,3547,8,0,592,592,0
120,3136,5433,13,108,593,593,0
145,205,728,9,63,594,594,0
388,564,13502,9,12,595,595,0
66,102,5008,6,46,596,596,0
325,425,3127,13,90,597,597,0
68,288,2020,7,22,598,598,0
189,1238,16667,8,122,599,599,0
129,128,4605,7,16,600,600,0
52,42,428,6,38,601,601,0
22,36,274,10,33,602,602,0
25,18,989,9,160,603,603,0
105,233,3826,8,55,604,604,0
384,406,303,10,34,605,605,0
63,225,906,12,58,606,606,0
83,75,265,5,18,607,607,0
553,657,3016,5,24,608,608,0
157,192,969,15,26,609,609,0
934,928,6730,9,133,610,610,0
690,487,2774,9,157,611,611,0
118,177,6543,5,139,612,612,0
453,553,2644,11,0,613,613,0
625,880,26119,14,135,614,614,0
605,508,966,10,65,615,615,0
37,54,186,11,0,616,616,0
188,158,465,5,159,617,617,0
83,229,1818,12,136,618,618,0
101,427,2235,11,0,619,619,0
325,271,438,9,0,620,620,0
99,147,3141,11,47,621,621,0
653,517,860,6,53,622,622,0
441,1036,5390,8,121,623,623,0
61,168,2807,15,29,624,624,0
16771,16235,5961,13,138,625,625,0
1731,1359,7326,11,59,626,626,0
3443,3837,18004,9,111,627,627,0
94,53,5863,10,151,628,628,0
14,13,75,7,0,629,629,0
217,185,6693,6,39,630,630,0
296,8109,7638,11,159,631,631,0
244,484,15462,12,97,632,632,0
96,140,2339,8,28,633,633,0
3,144,23187,13,15,634,634,0
294,247,7095,9,158,635,635,0
117,259,1925,15,15,636,636,0
187,182,3558,8,87,637,637,0
693,663,19595,6,34,638,638,0
687,652,2023,8,141,639,639,0
265,786,8967,12,4,640,640,0
49,122,927,8,0,641,641,0
149,460,2407,8,76,642,642,0
12,34,772,5,42,643,643,0
173,270,2383,7,125,644,644,0
170,209,549,9,17,645,645,0
155,96,473,4,119,646,646,0
473,850,6738,8,57,647,647,0
873,787,7634,11,90,648,648,0
200,377,14304,10,8,649,649,0
58,56,259,12,69,650,650,0
277,299,3505,6,44,651,651,0
133,173,1616,8,0,652,652,0
1953,1484,1495,10,94,653,653,0
1085,831,5068,5,67,654,654,0
1176,2729,28550,7,4,655,655,0
408,360,2187,7,132,656,656,0
221,2557,1797,13,152,657,657,0
95,129,1266,13,54,658,658,0
242,410,1929,6,141,659,659,0
237,336,2903,7,114,660,660,0
117,193,4242,14,48,661,661,0
0,43,760,9,0,662,662,0
199,692,3112,11,79,663,663,0
223,474,11928,7,109,664,664,0
2758,2533,52854,6,37,665,665,0
289,315,11890,6,82,666,666,0
89,203,5319,8,0,667,667,0
21,654,22287,11,72,668,668,0
298,390,2089,13,0,669,669,0
350,453,1314,8,0,670,670,0
1,2667,26724,8,0,671,671,0
933,1351,15280,4,66,672,672,0
1082,725,1199,11,68,673,673,0
843,551,1745,7,76,674,674,0
108,64,281,8,73,675,675,0
17,878,30124,14,126,676,676,0
2409,2224,9900,4,68,677,677,0
81,303,2144,8,8,678,678,0
282,532,4508,11,0,679,679,0
186,186343,2122,8,21,680,680,0
1916,3763,951,8,18,681,681,0
166,359,2003,8,58,682,682,0
37,90,2722,12,34,683,683,0
0,56,1139,10,0,684,684,0
95,159,3754,10,69,685,685,0
125,489,3473,7,25,686,686,0
881,289,445,11,22,687,687,0
175,111,1377,11,95,688,688,0
148,183,14362,10,6,689,689,0
1360,3350,5780,4,128,690,690,0
403,403,8390,11,64,691,691,0
160,107,3548,4,0,692,692,0
1414,1195,1352,10,23,693,693,0
184,247,581,12,61,694,694,0
76,133,3173,7,11,695,695,0
36,52,120,9,0,696,696,0
185,104,519,12,146,697,697,0
171,99,678,11,20,698,698,0
154,172,4154,6,100,699,699,0
691,646,2005,13,55,700,700,0
100,48,1230,7,21,701,701,0
28,29,159,11,42,702,702,0
1773,3742,11918,10,86,703,703,0
220,103,181,9,59,704,704,0
259,474,10632,13,41,705,705,0
29,461,73475,8,32,706,706,0
123,127,5047,10,82,707,707,0
118,198,1336,11,55,708,708,0
791,880,1488,7,81,709,709,0
67,85,3844,7,68,710,710,0
262,425,8020,10,109,711,711,0
23,49,1189,11,40,712,712,0
227,262,385,7,33,713,713,0
51,395,7789,8,150,714,714,0
22,36,133,3,0,715,715,0
790,1211,6516,6,75,716,716,0
787,4853,2974,7,74,717,717,0
230,685,8298,5,47,718,718,0
859,1151,30273,4,160,719,719,0
329,266,4079,7,63,720,720,0
60,27,61,7,58,721,721,0
29,66,1622,10,84,722,722,0
66,98,254,13,0,723,723,0
237,275,6987,14,95,724,724,0
455,714,10801,11,81,725,725,0
22,255,59231,12,89,726,726,0
219,396,14078,9,70,727,727,0
68,97,448,15,135,728,728,0
10,101,2115,6,27,729,729,0
195,228,6744,7,33,730,730,0
102,104,1088,6,75,731,731,0
36,36,238,8,15,732,732,0
62,68,680,7,11,733,733,0
456,721,9412,11,80,734,734,0
0,271,63790,10,51,735,735,0
21,21,3292,10,0,736,736,0
375,407,7413,12,31,737,737,0
25,115,2422,9,0,738,738,0
3732,5488,6189,14,160,739,739,0
632,1229,18476,9,148,740,740,0
93,53,328,11,0,741,741,0
171,242,3850,8,67,742,742,0
99,39,40,8,160,743,743,0
147,76,613,11,0,744,744,0
1997,1713,1262,5,22,745,745,0
34,76,1089,7,46,746,746,0
126,154,7150,10,60,747,747,0
101,2611,18154,7,73,748,748,0
62,30,504,5,79,749,749,0
316,455,4872,6,53,750,750,0
546,299,4443,9,120,751,751,0
11,12,67,10,63,752,752,0
18,13,102,9,0,753,753,0
282,522,8057,11,36,754,754,0
34,109,6680,12,18,755,755,0
0,1,2,8,0,756,756,0
737,1291,10442,8,89,757,757,0
921,468,835,9,160,758,758,0
1139,974,40501,10,99,759,759,0
17,32,236,13,0,760,760,0
101,620,5181,9,61,761,761,0
504,522,7527,6,57,762,762,0
85,142,800,15,85,763,763,0
327,589,12724,9,49,764,764,0
3599,3812,13637,8,118,765,765,0
538,464,8625,10,50,766,766,0
11,6,121,8,0,767,767,0
101,151,1123,8,61,768,768,0
485,633,4873,6,41,769,769,0
846,844,4566,10,135,770,770,0
65,137,5833,4,32,771,771,0
1,7098,16644,5,31,772,772,0
2277,6214,3233,14,85,773,773,0
54,45,231,6,23,774,774,0
134,65,898,3,36,775,775,0
179,213,2220,8,13,776,776,0
592,1452,22749,8,116,777,777,0
487,906,6088,5,121,778,778,0
218,107,270,10,0,779,779,0
449,486,5829,6,47,780,780,0
2,1978,4850,13,123,781,781,0
88,24,14,6,9,782,782,0
582,777,620,6,122,783,783,0
1067,1698,39246,9,10,784,784,0
201,123,1972,15,5,785,785,0
64,161,12130,6,103,786,786,0
54,55,737,8,70,787,787,0
493,618,20931,8,75,788,788,0
115,361,967,8,0,789,789,0
315,401,813,9,53,790,790,0
132,172,1991,6,11,791,791,0
445,394,2256,6,60,792,792,0
551,926,6686,6,24,793,793,0
78,43,167,12,0,794,794,0
831,817,5617,6,135,795,795,0
101,69,1398,10,6,796,796,0
1209,1261,88164,5,42,797,797,0
105,146,7002,5,9,798,798,0
298,372,5907,9,0,799,799,0
1360,796,5844,6,8,800,800,0
100,89,65,9,46,801,801,0
27,41,305,7,0,802,802,0
806,1181,12968,7,38,803,803,0
104,47,1380,13,29,804,804,0
122,138,2291,6,62,805,805,0
522,1526,13454,9,53,806,806,0
202,201,5967,8,42,807,807,0
46,50,715,10,121,808,808,0
