class,contributors_enabled,default_profile,default_profile_image,favourites_count,follow_request_sent,followers_count,following,friends_count,geo_enabled,has_extended_profile,is_translation_enabled,is_translator,listed_count,notifications,profile_background_tile,profile_use_background_image,statuses_count,utc_offset,verified,created_at_encoded,created_at_user_encoded,display_url_encoded,expanded_url_encoded,lang_encoded,profile_background_color_encoded,profile_background_image_url_encoded,profile_background_image_url_https_encoded,profile_banner_url_encoded,profile_image_url_encoded,profile_image_url_https_encoded,profile_link_color_encoded,profile_sidebar_border_color_encoded,profile_sidebar_fill_color_encoded,profile_text_color_encoded,time_zone_encoded,translator_type_encoded,url_encoded,url_urls_url_encoded,user_description_encoded,user_location_encoded,user_name_encoded,user_screen_name_encoded
1,0,0,0,0,0,31,0,2,0,0,0,0,12,0,0,0,4003,0,0,22,22,18,18,1,1,1,1,20,22,22,12,1,1,1,1,1,18,18,22,6,22,22
1,0,1,0,0,0,14,0,1,0,0,0,0,0,0,0,1,6400,0,0,23,23,8,8,1,4,3,3,21,23,23,3,3,3,2,1,1,8,8,23,14,23,23
1,0,0,0,4,0,14,0,8,0,0,0,0,4,0,0,0,345,0,0,24,24,19,19,1,1,1,1,22,24,24,13,1,1,1,1,1,19,19,24,6,24,24
1,0,0,0,111,0,257,0,4,0,0,0,0,15,0,0,0,3690,0,0,25,25,8,8,1,1,1,1,23,25,25,14,1,1,1,1,1,8,8,25,15,25,25
1,0,0,0,1,0,240,0,227,0,0,0,0,18,0,0,0,3444,0,0,26,26,8,8,1,1,1,1,24,26,26,15,1,1,1,1,1,8,8,26,6,26,26
1,0,0,0,0,0,1760,0,0,0,0,0,0,36,0,0,0,581,0,0,27,27,20,20,1,1,1,1,3,27,27,1,1,1,1,1,1,20,20,27,16,27,27
1,0,0,0,3,0,1,0,2,0,1,0,0,2,0,0,0,2543,0,0,28,28,8,8,1,1,1,1,25,28,28,16,1,1,1,1,1,8,8,28,17,28,28
1,0,0,0,0,0,115,0,0,0,0,0,0,14,0,0,0,9882,0,0,29,29,21,21,1,1,1,1,26,29,29,1,1,1,1,1,1,21,21,29,6,29,29
1,0,0,0,0,0,25,0,0,0,0,0,0,2,0,0,0,8460,0,0,30,30,8,8,1,1,1,1,3,30,30,17,1,1,1,1,1,8,8,30,6,30,30
1,0,1,0,0,0,26,0,3,0,0,0,0,5,0,0,1,215353,0,0,31,31,8,8,1,3,1,1,3,31,31,3,3,3,2,1,1,8,8,22,6,31,31
1,0,1,0,1,0,419,0,3,0,0,0,0,7,0,0,1,754,0,0,32,32,8,8,1,4,3,3,27,32,32,3,3,3,2,1,1,8,8,31,6,32,32
1,0,1,0,1,0,9,0,0,0,1,0,0,4,0,0,1,5624,0,0,33,33,8,8,1,4,3,3,28,33,33,3,3,3,2,1,1,8,8,32,18,33,33
1,0,0,0,6,0,141,0,24,0,1,0,0,5,0,0,0,1076,0,0,34,34,22,22,1,1,1,1,3,34,34,18,1,1,1,1,1,22,22,33,19,34,34
1,0,1,0,12,0,53,0,10,0,0,0,0,5,0,0,1,30813,0,0,35,35,8,8,1,3,1,1,3,35,35,3,3,3,2,1,1,8,8,34,6,35,35
1,0,0,0,22,0,89,0,2,0,0,0,0,5,0,0,0,8537,0,0,36,36,8,8,1,1,1,1,29,36,36,1,1,1,1,1,1,8,8,35,20,36,36
1,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,1,6685,0,0,37,37,23,23,1,4,3,3,3,37,37,3,3,3,2,1,1,23,23,36,6,37,37
1,0,0,0,0,0,11553,0,0,0,0,0,0,327,0,0,0,33101,0,0,38,38,8,8,1,1,1,1,30,38,38,19,1,1,1,1,1,8,8,37,6,38,38
1,0,0,0,136,0,121,0,264,0,0,0,0,7,0,0,0,7415,0,0,39,39,24,24,1,1,1,1,31,39,39,20,1,1,1,1,1,24,24,38,6,39,39
1,0,1,0,9,0,63,0,0,0,0,0,0,2,0,0,1,241,0,0,40,40,25,25,1,4,3,3,32,40,40,3,3,3,2,1,1,25,25,39,21,40,40
1,0,1,0,0,0,2060,0,8,0,0,0,0,12,0,0,1,3540,0,0,41,41,26,26,1,4,3,3,33,41,41,3,3,3,2,1,1,26,26,40,22,41,41
1,0,0,0,813,0,80,0,5,0,0,0,0,2,0,0,0,20463,0,0,42,42,8,8,1,1,1,1,34,42,42,21,1,1,1,1,1,8,8,41,23,42,42
1,0,0,0,1,0,11,0,0,0,1,0,0,2,0,0,0,3073,0,0,43,43,8,8,1,1,1,1,3,43,43,1,1,1,1,1,1,8,8,42,6,43,43
1,0,1,0,0,0,11,0,1,0,0,0,0,5,0,0,1,21498,0,0,44,44,27,27,1,4,3,3,3,44,44,3,3,3,2,1,1,27,27,43,24,44,44
1,0,0,0,0,0,9,0,3,0,1,0,0,2,0,0,0,18069,0,0,45,45,28,28,1,1,1,1,35,45,45,22,1,1,1,1,1,28,28,44,25,45,45
1,0,0,0,0,0,3177,0,1,0,0,0,0,178,0,0,0,11681,0,0,46,46,29,29,1,1,1,1,3,46,46,23,1,1,1,1,1,29,29,45,6,46,46
1,0,1,0,0,0,13,0,2,0,1,0,0,3,0,0,1,17828,0,0,47,47,8,8,1,4,3,3,3,47,47,3,3,3,2,1,1,8,8,46,6,47,47
1,0,0,0,0,0,338,0,1,0,0,0,0,31,0,1,1,13773,0,0,48,48,30,30,1,6,4,4,36,48,48,24,1,4,2,1,1,30,30,47,6,48,48
1,0,0,0,15,0,39,0,15,0,0,0,0,3,0,0,0,14006,0,0,49,49,8,8,1,1,1,1,37,49,49,25,1,1,1,1,1,8,8,48,6,49,49
1,0,0,0,1,0,43,0,0,0,0,0,0,7,0,0,0,44386,0,0,50,50,8,8,1,1,1,1,3,50,50,26,1,1,1,1,1,8,8,49,6,50,50
1,0,0,0,6,0,30,0,4,0,0,0,0,10,0,0,0,38659,0,0,51,51,8,8,1,1,1,1,3,51,51,1,1,1,1,1,1,8,8,50,26,51,51
1,0,1,0,0,0,17861,0,0,0,0,0,0,360,0,0,1,44123,0,0,52,52,31,31,1,4,3,3,38,52,52,3,3,3,2,1,1,31,31,51,6,52,52
1,0,0,0,0,0,1127,0,0,0,0,0,0,38,0,0,0,657,0,0,53,53,32,32,1,1,1,1,39,53,53,27,1,1,1,1,1,32,32,52,6,53,53
1,0,1,0,7,0,595,0,9,0,0,0,0,7,0,0,1,19777,0,0,54,54,8,8,1,4,3,3,40,54,54,3,3,3,2,1,1,8,8,53,6,54,54
1,0,0,0,0,0,161,0,0,0,1,0,0,3,0,0,0,321,0,0,55,55,33,33,1,1,1,1,41,55,55,28,1,1,1,1,1,33,33,54,6,55,55
1,0,1,0,11,0,4,0,10,0,0,0,0,1,0,0,1,2254,0,0,56,56,8,8,1,4,3,3,3,56,56,3,3,3,2,1,1,8,8,55,22,56,56
1,0,1,0,18,0,2189,0,3061,0,0,0,0,22,0,0,1,17837,0,0,57,57,8,8,1,3,1,1,42,57,57,3,3,3,2,1,1,8,8,22,6,57,57
1,0,1,0,5,0,20,0,0,0,0,0,0,8,0,0,1,5265,0,0,58,58,8,8,1,4,3,3,43,58,58,3,3,3,2,1,1,8,8,56,6,58,58
1,0,0,0,45,0,7,0,2,0,0,0,0,3,0,0,0,591797,0,0,59,59,34,34,1,1,1,1,44,59,59,1,1,1,1,1,1,34,34,57,27,59,59
1,0,1,0,1,0,44,0,0,0,0,0,0,4,0,0,1,161,0,0,60,60,8,8,1,4,3,3,45,60,60,3,3,3,2,1,1,8,8,58,28,60,60
1,0,0,0,9,0,26,0,1,0,1,0,0,2,0,0,0,3441,0,0,61,61,8,8,1,1,1,1,46,61,61,29,1,1,1,1,1,8,8,59,29,61,61
1,0,1,0,2,0,24,0,0,0,0,0,0,1,0,0,1,23872,0,0,62,62,8,8,1,4,3,3,3,62,62,3,3,3,2,1,1,8,8,60,30,62,62
1,0,0,1,0,0,4,0,2,0,0,0,0,2,0,0,0,18209,0,0,63,63,35,35,1,1,1,1,3,63,63,30,1,1,1,1,1,35,35,61,6,63,63
1,0,0,0,0,0,57,0,1,0,0,0,0,8,0,0,0,1549,0,0,64,64,36,36,1,1,1,1,47,64,64,31,1,1,1,1,1,36,36,62,31,64,64
1,0,0,0,54,0,1407,0,9,0,1,0,0,20,0,0,0,1598,0,0,65,65,8,8,1,1,1,1,48,65,65,9,1,1,1,1,1,8,8,63,32,65,65
1,0,1,0,1,0,574,0,0,0,0,0,0,28,0,0,1,4423,0,0,66,66,37,37,1,3,1,1,49,66,66,3,3,3,2,1,1,37,37,64,6,66,66
1,0,0,0,9,0,4869,0,3,0,0,0,0,233,0,0,0,11243,0,0,67,67,38,38,1,1,1,1,3,67,67,1,1,1,1,1,1,38,38,65,15,67,67
1,0,0,0,13,0,197,0,52,0,0,0,0,26,0,0,0,18081,0,0,68,68,39,39,1,1,1,1,50,68,68,32,1,1,1,1,1,39,39,66,15,68,68
1,0,1,0,1,0,20,0,1,0,0,0,0,7,0,0,1,2346,0,0,69,69,40,40,1,4,3,3,3,69,69,3,3,3,2,1,1,40,40,67,6,69,69
1,0,0,0,12,0,49,0,23,0,0,0,0,3,0,0,0,4376,0,0,70,70,8,8,1,1,1,1,51,70,70,8,1,1,1,1,1,8,8,68,6,70,70
1,0,1,0,0,0,1101,0,0,0,0,0,0,76,0,0,1,14961,0,0,71,71,41,41,1,4,3,3,3,71,71,3,3,3,2,1,1,41,41,69,6,71,71
1,0,0,0,1,0,62,0,3,0,0,0,0,1,0,0,0,3299,0,0,72,72,8,8,1,1,1,1,52,72,72,33,1,1,1,1,1,8,8,70,33,72,72
1,0,0,0,0,0,620,0,0,0,0,0,0,50,0,0,0,42010,0,0,73,73,42,42,1,1,1,1,53,73,73,34,1,1,1,1,1,42,42,71,6,73,73
1,0,0,0,1,0,48,0,0,0,0,0,0,13,0,0,0,56622,0,0,74,74,43,43,1,1,1,1,54,74,74,35,1,1,1,1,1,43,43,72,6,74,74
1,0,1,0,0,0,9283,0,1,0,0,0,0,359,0,0,1,4855,0,0,75,75,8,8,1,4,3,3,3,75,75,3,3,3,2,1,1,8,8,73,6,75,75
1,0,1,0,0,0,4,0,1,0,0,0,0,1,0,0,1,1006,0,0,76,76,44,44,1,4,3,3,55,76,76,3,3,3,2,1,1,44,44,74,6,76,76
1,0,0,0,28,0,134,0,7,0,1,0,0,1,0,0,0,5851,0,0,77,77,45,45,1,1,1,1,56,77,77,21,1,1,1,1,1,45,45,75,6,77,77
1,0,1,0,0,0,33,0,0,0,0,0,0,18,0,0,1,28977,0,0,78,78,8,8,1,4,3,3,57,78,78,3,3,3,2,1,1,8,8,76,6,78,78
1,0,0,0,0,0,77,0,1,0,0,0,0,20,0,0,0,27038,0,0,79,79,46,46,1,1,1,1,3,79,79,8,1,1,1,1,1,46,46,77,6,79,79
1,0,0,0,0,0,898,0,17,0,0,0,0,33,0,0,0,3307,0,0,80,80,8,8,1,1,1,1,58,80,80,1,1,1,1,1,1,8,8,78,34,80,80
1,0,0,0,8,0,11,0,45,0,1,0,0,3,0,0,0,1972,0,0,81,81,8,8,1,1,1,1,59,81,81,4,1,1,1,1,1,8,8,79,35,81,81
1,0,1,0,2,0,18,0,0,0,0,0,0,12,0,0,1,878,0,0,82,82,8,8,1,4,3,3,3,82,82,3,3,3,2,1,1,8,8,80,6,82,82
1,0,0,0,0,0,435,0,0,0,0,0,0,27,0,0,0,28404,0,0,83,83,47,47,1,1,1,1,3,83,83,8,1,1,1,1,1,47,47,81,36,83,83
1,0,0,0,118,0,35,0,7,0,0,0,0,11,0,0,0,767,0,0,84,84,8,8,1,7,1,1,60,84,84,36,1,1,1,1,1,8,8,82,6,84,84
1,0,1,0,8,0,256,0,1,0,1,0,0,22,0,0,1,9963,0,0,85,85,8,8,1,4,3,3,61,85,85,3,3,3,2,1,1,8,8,83,6,85,85
1,0,0,0,0,0,8,0,1,0,0,0,0,2,0,0,0,2656,0,0,86,86,8,8,1,1,1,1,62,86,86,37,1,1,1,1,1,8,8,84,6,86,86
1,0,0,0,11,0,155,0,23,0,0,0,0,37,0,0,0,6039,0,0,87,87,8,8,1,1,1,1,63,87,87,1,1,1,1,1,1,8,8,85,22,87,87
1,0,0,0,45,0,15541,0,59,1,0,0,0,371,0,0,1,4886,0,0,88,88,48,48,1,1,1,1,64,88,88,38,1,1,1,1,1,48,48,86,37,88,88
1,0,0,0,98,0,226,0,3,0,0,0,0,23,0,0,0,17486,0,0,89,89,49,49,1,1,1,1,65,89,89,4,1,1,1,1,1,49,49,87,38,89,89
1,0,1,0,0,0,18,0,2,0,0,0,0,1,0,0,1,105,0,0,90,90,8,8,1,4,3,3,3,90,90,3,3,3,2,1,1,8,8,88,6,90,90
1,0,0,0,1,0,31,0,0,0,0,0,0,5,0,0,0,3812,0,0,91,91,50,50,1,1,1,1,66,91,91,39,1,1,1,1,1,50,50,89,39,91,91
1,0,0,0,2,0,19,0,1,0,1,0,0,8,0,0,0,9092,0,0,92,92,51,51,1,1,1,1,67,92,92,1,1,1,1,1,1,51,51,90,40,92,92
1,0,0,0,47,0,2174,0,0,0,0,0,0,72,0,0,0,1074,0,0,93,93,52,52,1,1,1,1,3,93,93,21,1,1,1,1,1,52,52,91,39,93,93
1,0,0,0,67,0,763,0,390,0,0,0,0,23,0,0,0,31079,0,0,94,94,53,53,1,1,1,1,68,94,94,8,1,1,1,1,1,53,53,92,41,94,94
1,0,0,0,2186,0,446,0,1018,0,0,0,0,30,0,0,0,33063,0,0,95,95,54,54,1,1,1,1,69,95,95,40,1,1,1,1,1,54,54,93,6,95,95
1,0,0,0,0,0,54,0,1,0,0,0,0,12,0,1,1,7164,0,0,96,96,55,55,1,2,2,2,70,96,96,26,1,1,1,1,1,55,55,94,42,96,96
1,0,0,0,0,0,21,0,3,0,0,0,0,3,0,0,0,5557,0,0,97,97,8,8,1,1,1,1,3,97,97,1,1,1,1,1,1,8,8,95,6,97,97
1,0,0,0,363,0,134712,0,4876,0,0,0,0,1949,0,0,1,14399,0,0,98,98,8,8,1,3,1,1,71,98,98,1,3,3,2,1,1,8,8,96,6,98,98
1,0,1,0,3221,0,87,0,2,1,0,0,0,0,0,0,1,3861,0,0,99,99,8,8,1,4,3,3,72,99,99,3,3,3,2,1,1,8,8,97,6,99,99
1,0,0,0,253,0,108,0,0,0,1,0,0,3,0,0,0,398,0,0,100,100,56,56,1,1,1,1,73,100,100,4,1,1,1,1,1,56,56,98,43,100,100
1,0,0,0,0,0,85,0,2,0,0,0,0,9,0,0,0,4246,0,0,101,101,35,57,1,1,1,1,74,101,101,41,1,1,1,1,1,57,57,99,44,101,101
1,0,0,0,21,0,686,0,1,0,0,0,0,39,0,0,0,5956,0,0,102,102,8,8,1,1,1,1,3,102,102,42,1,1,1,1,1,8,8,100,6,102,102
1,0,1,0,0,0,7,0,1,0,0,0,0,2,0,0,1,1260,0,0,103,103,57,58,1,4,3,3,75,103,103,3,3,3,2,1,1,58,58,101,6,103,103
1,0,1,0,1,0,18,0,0,0,0,0,0,6,0,0,1,18490,0,0,104,104,8,8,1,4,3,3,3,104,104,3,3,3,2,1,1,8,8,102,22,104,104
1,0,1,0,2,0,333,0,5,1,0,0,0,11,0,0,1,3443,0,0,105,105,48,48,1,4,3,3,3,105,105,3,3,3,2,1,1,48,48,103,45,105,105
1,0,1,0,0,0,20995,0,4,0,0,0,0,343,0,0,1,6765,0,0,106,106,58,59,1,4,3,3,76,106,106,3,3,3,2,1,1,59,59,104,46,106,106
1,0,1,0,11,0,5447,0,3,0,0,0,0,105,0,0,1,5498,0,0,107,107,59,60,1,4,3,3,77,107,107,3,3,3,2,1,1,60,60,105,47,107,107
1,0,1,0,2,0,92,0,1,0,0,0,0,3,0,0,1,5078,0,0,108,108,60,61,1,4,3,3,3,108,108,3,3,3,2,1,1,61,61,106,48,108,108
1,0,1,0,0,0,49,0,1,0,1,0,0,11,0,0,1,20806,0,0,109,109,61,62,1,3,1,1,78,109,109,3,3,3,2,1,1,62,62,107,49,109,109
1,0,1,0,92379,0,2650,0,3968,0,0,0,0,87,0,0,1,141273,0,0,110,110,62,63,1,3,1,1,79,110,110,3,3,3,2,1,1,63,63,108,6,110,110
1,0,1,0,0,0,11,0,0,0,0,0,0,3,0,0,1,25525,0,0,111,111,8,8,1,4,3,3,3,111,111,3,3,3,2,1,1,8,8,22,6,111,111
1,0,0,0,0,0,27,0,2,0,0,0,0,5,0,0,0,949,0,0,112,112,63,64,1,1,1,1,80,112,112,43,1,1,1,1,1,64,64,109,50,112,112
1,0,1,0,0,0,11,0,0,0,0,0,0,11,0,0,1,23930,0,0,113,113,8,8,1,4,3,3,81,113,113,3,3,3,2,1,1,8,8,110,6,113,113
1,0,0,0,15,0,863,0,0,0,0,0,0,110,0,0,0,13387,0,0,114,114,64,65,1,1,1,1,82,114,114,26,1,1,1,1,1,65,65,111,6,114,114
1,0,1,0,0,0,805,0,18,0,0,0,0,17,0,0,1,6488,0,0,115,115,65,66,1,4,3,3,83,115,115,3,3,3,2,1,1,66,66,112,33,115,115
1,0,1,0,0,0,10,0,0,0,1,0,0,3,0,0,1,2747,0,0,116,116,66,67,1,4,3,3,3,116,116,3,3,3,2,1,1,67,67,113,51,116,116
1,0,0,0,0,0,13,0,4,0,0,0,0,2,0,0,0,3486,0,0,117,117,8,8,1,1,1,1,84,117,117,44,1,1,1,1,1,8,8,114,6,117,117
1,0,1,0,0,0,32,0,1,0,0,0,0,9,0,0,1,7158,0,0,118,118,8,8,1,4,3,3,85,118,118,3,3,3,2,1,1,8,8,115,6,118,118
1,0,0,0,0,0,18144,0,2,0,0,0,0,203,0,0,0,3739,0,0,119,119,8,8,1,1,1,1,86,119,119,11,1,1,1,1,1,8,8,116,6,119,119
1,0,0,0,0,0,243,0,0,0,0,0,0,16,0,0,0,10640,0,0,114,120,8,8,1,1,1,1,3,120,120,8,1,1,1,1,1,8,8,117,6,120,120
1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,175,0,0,120,121,8,8,1,1,1,1,87,121,121,41,1,1,1,1,1,8,8,118,45,121,121
1,0,1,0,0,0,21,0,0,0,0,0,0,18,0,0,1,250327,0,0,121,122,67,68,1,3,1,1,3,122,122,3,3,3,2,1,1,68,68,119,52,122,122
1,0,1,0,0,0,32,0,11,0,1,0,0,2,0,0,1,409,0,0,122,123,68,69,1,4,3,3,88,123,123,3,3,3,2,1,1,69,69,120,53,123,123
1,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,1326,0,0,123,124,69,70,1,1,1,1,89,124,124,4,1,1,1,1,1,70,70,121,6,124,124
1,0,0,0,0,0,70,0,0,0,1,0,0,2,0,0,0,5912,0,0,124,125,8,8,1,1,1,1,90,125,125,4,1,1,1,1,1,8,8,122,54,125,125
1,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,1763,0,0,125,126,8,8,1,4,3,3,91,126,126,3,3,3,2,1,1,8,8,22,6,126,126
1,0,0,0,4,0,2150,0,1,0,0,0,0,29,0,0,0,56809,0,0,126,127,8,8,1,1,1,1,92,127,127,45,1,1,1,1,1,8,8,123,6,127,127
1,0,0,0,0,0,483,0,2,0,1,0,0,6,0,0,0,1723,0,0,127,128,70,71,1,1,1,1,3,128,128,5,1,1,1,1,1,71,71,124,55,128,128
1,0,0,0,45,0,22,0,2,0,0,0,0,8,0,0,0,3209,0,0,128,129,8,8,1,1,1,1,93,129,129,1,1,1,1,1,1,8,8,125,56,129,129
1,0,0,0,35,0,123,0,2,0,0,0,0,16,0,0,0,37384,0,0,129,130,8,8,1,8,1,1,94,130,130,1,1,1,1,1,1,8,8,126,57,130,130
1,0,0,0,18,0,1080,0,1,0,0,0,0,120,0,0,0,13547,0,0,130,131,8,8,1,1,1,1,95,131,131,46,1,1,1,1,1,8,8,127,58,131,131
1,0,0,0,0,0,112,0,0,0,1,0,0,11,0,0,0,5249,0,0,131,132,8,8,1,1,1,1,96,132,132,28,1,1,1,1,1,8,8,128,59,132,132
1,0,0,0,13,0,2554,0,0,0,0,0,0,112,0,0,0,31796,0,0,132,133,71,72,1,1,1,1,3,133,133,47,1,1,1,1,1,72,72,129,60,133,133
1,0,0,0,10,0,1589,0,9,0,0,0,0,12,0,0,0,10823,0,0,87,134,72,73,1,1,1,1,3,134,134,28,1,1,1,1,1,73,73,130,6,134,134
1,0,0,0,1,0,106,0,10,0,0,0,0,7,0,0,1,8631,0,0,133,135,8,8,1,3,1,1,97,135,135,38,4,3,2,1,1,8,8,131,6,135,135
1,0,0,0,2581,0,2887,0,1,0,0,0,0,40,0,0,1,1352,0,0,134,136,73,74,1,1,1,1,98,136,136,1,1,1,1,1,1,74,74,132,6,136,136
1,0,0,0,4,0,3890,0,2,0,0,0,0,196,0,0,0,31651,0,0,135,137,74,75,1,1,1,1,99,137,137,48,1,1,1,1,1,75,75,133,61,137,137
1,0,0,0,14,0,28,0,3,0,0,0,0,14,0,0,0,2853,0,0,136,138,75,76,1,1,1,1,100,138,138,8,1,1,1,1,1,76,76,134,6,138,138
1,0,0,0,0,0,792,0,4,0,0,0,0,13,0,0,0,8765,0,0,137,139,76,77,1,1,1,1,3,139,139,49,1,1,1,1,1,77,77,135,62,139,139
1,0,0,0,12,0,636,0,1,0,0,0,0,22,0,0,0,4609,0,0,138,140,8,8,1,1,1,1,101,140,140,50,1,1,1,1,1,8,8,136,63,140,140
1,0,0,0,3,0,79,0,22,0,0,0,0,12,0,0,0,1514,0,0,139,141,77,78,1,1,1,1,102,141,141,1,1,1,1,1,1,78,78,137,15,141,141
1,0,0,0,0,0,158,0,0,0,0,0,0,37,0,0,1,102,0,0,140,142,8,8,1,3,1,1,103,142,142,1,3,3,2,1,1,8,8,138,6,142,142
1,0,0,0,2,0,37,0,13,0,1,0,0,2,0,0,0,6085,0,0,141,143,8,8,1,1,1,1,104,143,143,5,1,1,1,1,1,8,8,139,22,143,143
1,0,1,0,0,0,646,0,11,0,0,0,0,79,0,0,1,8430,0,0,142,144,8,8,1,3,1,1,105,144,144,3,3,3,2,1,1,8,8,140,6,144,144
1,0,1,0,9,0,1474,0,54,0,0,0,0,95,0,0,1,532439,0,0,143,145,78,79,1,3,1,1,3,145,145,3,3,3,2,1,1,79,79,141,64,145,145
1,0,0,0,0,0,716,0,1,0,0,0,0,44,0,0,0,15572,0,0,144,146,79,80,1,1,1,1,106,146,146,8,1,1,1,1,1,80,80,142,6,146,146
1,0,0,0,1,0,82,0,2,0,0,0,0,2,0,0,0,1218,0,0,145,147,8,8,1,1,1,1,107,147,147,9,1,1,1,1,1,8,8,143,6,147,147
1,0,1,0,5,0,1258,0,1,0,1,0,0,10,0,0,1,2123,0,0,146,148,80,81,1,4,3,3,108,148,148,3,3,3,2,1,1,81,81,144,65,148,148
1,0,0,0,0,0,485,0,1,0,0,0,0,7,0,0,0,495,0,0,147,149,81,82,1,1,1,1,109,149,149,11,1,1,1,1,1,82,82,145,6,149,149
1,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,1,176,0,0,148,150,8,8,1,4,3,3,3,150,150,3,3,3,2,1,1,8,8,146,66,150,150
1,0,1,0,95,0,6571,0,7,0,0,0,0,319,0,0,1,8396,0,0,149,151,8,8,1,4,3,3,3,151,151,3,3,3,2,1,1,8,8,147,67,151,151
1,0,1,0,0,0,9,0,0,0,0,0,0,3,0,0,1,9044,0,0,38,152,8,8,1,4,3,3,3,152,152,3,3,3,2,1,1,8,8,22,6,152,152
